"","isic_id","AKIEC","BCC","BKL","MEL","NV","DF","VASC","image_diag_id"
"1","ISIC_0024306",1,0,0,0,6,0,0,"NV"
"2","ISIC_0024308",0,0,0,0,2,0,0,"NV"
"3","ISIC_0024309",0,0,0,0,1,0,0,"NV"
"4","ISIC_0024310",1,0,5,7,0,0,0,"MEL"
"5","ISIC_0024311",0,0,1,0,0,0,0,"NV"
"6","ISIC_0024312",0,0,3,6,0,0,0,"BKL"
"7","ISIC_0024313",0,0,1,12,2,0,0,"MEL"
"8","ISIC_0024314",0,0,0,1,4,0,0,"NV"
"9","ISIC_0024315",0,1,0,8,0,0,0,"MEL"
"10","ISIC_0024317",0,0,0,0,1,0,0,"NV"
"11","ISIC_0024318",0,0,0,0,0,71,0,"DF"
"12","ISIC_0024319",0,0,0,3,2,0,0,"NV"
"13","ISIC_0024320",0,0,0,0,4,0,0,"NV"
"14","ISIC_0024321",0,0,0,0,1,0,0,"NV"
"15","ISIC_0024322",0,0,0,1,1,0,0,"NV"
"16","ISIC_0024323",3,0,3,8,0,0,0,"MEL"
"17","ISIC_0024324",0,0,5,1,2,0,0,"BKL"
"18","ISIC_0024325",0,0,0,0,2,0,1,"NV"
"19","ISIC_0024326",0,0,0,1,1,0,0,"NV"
"20","ISIC_0024327",0,0,0,0,1,0,0,"NV"
"21","ISIC_0024328",0,0,1,0,3,0,0,"NV"
"22","ISIC_0024329",2,23,7,2,3,1,0,"AKIEC"
"23","ISIC_0024330",1,3,0,3,2,60,1,"DF"
"24","ISIC_0024331",1,17,0,1,0,0,0,"BCC"
"25","ISIC_0024332",0,22,0,0,1,0,0,"BCC"
"26","ISIC_0024333",0,0,1,9,0,0,0,"MEL"
"27","ISIC_0024334",0,0,0,0,2,0,0,"NV"
"28","ISIC_0024335",0,0,0,0,1,0,0,"NV"
"29","ISIC_0024336",0,0,7,3,1,0,0,"BKL"
"30","ISIC_0024337",0,0,9,0,1,1,0,"BKL"
"31","ISIC_0024338",2,0,7,1,1,1,0,"BKL"
"32","ISIC_0024339",0,0,0,0,3,0,0,"NV"
"33","ISIC_0024340",0,0,0,1,3,0,0,"NV"
"34","ISIC_0024341",0,0,0,0,3,0,0,"NV"
"35","ISIC_0024342",0,0,0,0,1,0,0,"NV"
"36","ISIC_0024343",0,0,1,1,4,0,0,"NV"
"37","ISIC_0024344",0,0,1,2,6,0,0,"NV"
"38","ISIC_0024345",2,16,2,2,1,1,0,"BCC"
"39","ISIC_0024346",0,0,0,1,3,2,0,"NV"
"40","ISIC_0024347",0,0,0,0,2,0,0,"NV"
"41","ISIC_0024348",0,0,0,0,2,0,0,"NV"
"42","ISIC_0024349",0,0,0,1,2,0,0,"NV"
"43","ISIC_0024350",0,0,0,0,2,0,0,"NV"
"44","ISIC_0024351",1,0,1,8,6,0,0,"MEL"
